ID,Class
0,siren
1,street_music
2,drilling
3,siren
4,dog_bark
6,children_playing
10,street_music
11,drilling
12,gun_shot
15,dog_bark
17,engine_idling
18,siren
19,gun_shot
20,engine_idling
22,air_conditioner
24,air_conditioner
26,engine_idling
27,siren
32,children_playing
33,jackhammer
35,gun_shot
36,siren
37,jackhammer
38,street_music
40,jackhammer
42,engine_idling
43,siren
44,children_playing
45,jackhammer
46,engine_idling
47,air_conditioner
48,car_horn
49,drilling
50,siren
52,gun_shot
54,children_playing
56,children_playing
57,drilling
59,gun_shot
60,siren
61,car_horn
63,drilling
65,street_music
66,jackhammer
67,children_playing
68,dog_bark
71,dog_bark
72,street_music
74,street_music
76,jackhammer
77,air_conditioner
78,dog_bark
79,jackhammer
80,gun_shot
81,jackhammer
82,street_music
83,car_horn
84,street_music
87,children_playing
88,car_horn
90,siren
91,jackhammer
92,siren
93,street_music
97,dog_bark
99,jackhammer
100,air_conditioner
101,drilling
103,air_conditioner
104,jackhammer
105,street_music
113,street_music
114,air_conditioner
116,drilling
117,engine_idling
118,street_music
119,drilling
120,street_music
121,jackhammer
123,drilling
125,engine_idling
128,jackhammer
130,drilling
131,car_horn
132,street_music
134,children_playing
135,engine_idling
136,drilling
137,jackhammer
138,drilling
139,dog_bark
140,jackhammer
142,jackhammer
146,drilling
148,car_horn
149,siren
152,children_playing
153,jackhammer
159,siren
160,dog_bark
