ID,Class
5,drilling
7,dog_bark
8,drilling
9,dog_bark
13,street_music
14,jackhammer
16,street_music
21,children_playing
23,dog_bark
25,siren
28,drilling
29,children_playing
30,dog_bark
31,children_playing
34,street_music
39,air_conditioner
41,dog_bark
51,drilling
53,drilling
55,street_music
58,street_music
62,street_music
64,dog_bark
69,street_music
70,street_music
73,street_music
75,engine_idling
85,dog_bark
86,street_music
89,street_music
94,engine_idling
95,dog_bark
96,drilling
98,street_music
102,siren
106,siren
107,engine_idling
108,car_horn
109,drilling
110,street_music
111,dog_bark
112,street_music
115,street_music
122,siren
124,drilling
126,street_music
127,street_music
129,children_playing
133,drilling
141,street_music
143,street_music
144,children_playing
145,engine_idling
147,drilling
150,air_conditioner
151,children_playing
154,street_music
155,siren
156,street_music
157,dog_bark
158,street_music
161,gun_shot
166,air_conditioner
169,siren
173,street_music
177,street_music
180,siren
181,gun_shot
183,street_music
190,drilling
191,dog_bark
194,street_music
195,siren
198,siren
199,drilling
201,children_playing
203,street_music
204,jackhammer
205,dog_bark
206,street_music
207,drilling
209,drilling
210,gun_shot
220,siren
225,jackhammer
231,street_music
234,gun_shot
237,siren
238,children_playing
240,dog_bark
241,drilling
243,children_playing
244,jackhammer
254,dog_bark
256,street_music
257,drilling
259,street_music
262,street_music
265,siren
266,siren
267,jackhammer
273,jackhammer
274,street_music
279,drilling
281,dog_bark
283,siren
284,street_music
287,drilling
289,siren
290,dog_bark
291,siren
292,street_music
293,street_music
294,drilling
296,dog_bark
297,siren
298,children_playing
302,street_music
320,siren
321,street_music
325,air_conditioner
340,street_music
341,dog_bark
344,street_music
345,jackhammer
362,siren
373,gun_shot
375,dog_bark
379,engine_idling
384,children_playing
387,drilling
389,air_conditioner
390,engine_idling
393,street_music
398,air_conditioner
399,dog_bark
403,air_conditioner
404,street_music
405,street_music
409,dog_bark
415,drilling
416,siren
420,engine_idling
421,street_music
422,street_music
424,dog_bark
431,siren
432,engine_idling
433,street_music
434,siren
439,children_playing
441,jackhammer
443,street_music
448,air_conditioner
451,street_music
458,drilling
460,drilling
463,siren
465,jackhammer
466,dog_bark
469,street_music
476,siren
478,street_music
481,dog_bark
483,street_music
487,engine_idling
490,street_music
492,siren
494,jackhammer
496,street_music
499,children_playing
502,children_playing
503,siren
504,street_music
505,street_music
508,jackhammer
510,jackhammer
514,drilling
517,air_conditioner
518,children_playing
521,gun_shot
526,children_playing
529,air_conditioner
530,street_music
531,children_playing
535,car_horn
536,siren
539,drilling
541,siren
545,street_music
546,car_horn
548,children_playing
550,drilling
552,air_conditioner
553,siren
558,engine_idling
563,jackhammer
574,street_music
577,street_music
581,dog_bark
582,street_music
588,street_music
591,street_music
592,street_music
595,dog_bark
596,gun_shot
601,drilling
602,street_music
608,jackhammer
609,street_music
616,siren
617,siren
618,jackhammer
625,dog_bark
626,street_music
627,jackhammer
628,engine_idling
632,dog_bark
634,jackhammer
637,street_music
638,siren
640,children_playing
641,children_playing
644,street_music
647,street_music
649,children_playing
650,children_playing
653,dog_bark
667,siren
668,gun_shot
672,engine_idling
674,siren
675,street_music
678,gun_shot
680,jackhammer
681,dog_bark
682,children_playing
696,street_music
700,drilling
701,drilling
706,drilling
707,drilling
708,car_horn
711,children_playing
715,street_music
718,engine_idling
723,siren
725,dog_bark
731,street_music
736,dog_bark
741,siren
743,engine_idling
745,street_music
747,street_music
756,drilling
759,drilling
762,drilling
763,jackhammer
767,drilling
768,street_music
769,drilling
774,street_music
775,siren
777,street_music
779,dog_bark
781,siren
782,jackhammer
786,dog_bark
788,gun_shot
789,jackhammer
793,drilling
795,jackhammer
797,dog_bark
800,engine_idling
805,air_conditioner
806,dog_bark
808,drilling
814,siren
815,dog_bark
818,air_conditioner
822,drilling
823,street_music
827,drilling
828,drilling
831,siren
836,jackhammer
837,street_music
842,siren
846,drilling
847,siren
852,children_playing
856,drilling
861,street_music
862,engine_idling
866,street_music
873,drilling
877,street_music
879,siren
880,street_music
888,air_conditioner
890,dog_bark
895,air_conditioner
897,street_music
902,street_music
903,street_music
908,children_playing
909,street_music
910,street_music
917,jackhammer
918,siren
920,siren
924,gun_shot
931,street_music
934,street_music
935,drilling
936,street_music
939,street_music
940,street_music
942,siren
944,children_playing
947,street_music
949,dog_bark
950,car_horn
958,engine_idling
960,children_playing
961,children_playing
962,street_music
966,siren
967,street_music
968,siren
969,street_music
970,street_music
974,air_conditioner
976,engine_idling
981,jackhammer
982,jackhammer
983,drilling
984,dog_bark
988,street_music
989,dog_bark
992,street_music
993,jackhammer
994,street_music
997,engine_idling
998,street_music
999,street_music
1002,car_horn
1005,siren
1009,engine_idling
1010,dog_bark
1011,dog_bark
